ENCRYPTION
Plaintext P: 0000000100100011010001010110011110001001101010111100110111101111
Key K: 00010010011010010101101111001001101101111011011111111000
Ciphertext C: 1000010111101000000100110101010000001111000010101011010000000101
Avalanche: P and Pi under K
Round	DES0	DES1	DES2	DES3
0   	1   	1   	1   	1
1   	3   	3   	2   	2
2   	10   	7   	3   	2
3   	22   	12   	3   	1
4   	29   	17   	4   	2
5   	31   	23   	5   	2
6   	32   	26   	5   	1
7   	33   	29   	5   	2
8   	33   	30   	5   	2
9   	32   	31   	6   	1
10   	32   	32   	8   	2
11   	33   	33   	8   	2
12   	33   	33   	7   	1
13   	32   	32   	6   	2
14   	32   	32   	6   	2
15   	33   	32   	5   	1
16   	33   	32   	5   	2
P under K and Ki
Round	DES0	DES1	DES2	DES3
0   	0   	0   	0   	0
1   	2   	2   	1   	1
2   	11   	8   	2   	2
3   	24   	14   	3   	2
4   	30   	19   	5   	3
5   	31   	25   	7   	4
6   	31   	29   	9   	5
7   	31   	31   	12   	5
8   	32   	31   	13   	6
9   	32   	31   	15   	7
10   	32   	32   	17   	7
11   	32   	32   	20   	9
12   	31   	31   	22   	9
13   	30   	31   	23   	10
14   	31   	31   	24   	11
15   	32   	31   	26   	11
16   	32   	32   	26   	12
